Airports, Time Slot, Taxi Out Delay
Sioux Falls Regional Airport,Evening,14.471349353049908
Cyril E. King Airport,Afternoon,14.470225872689939
St. George Regional Airport,Morning,14.43939393939394
Aspen-Pitkin County Airport,Evening,14.43921568627451
Palm Beach International Airport,Afternoon,14.427048260381595
Eugene Airport (Mahlon Sweet Field),Morning,14.424806201550387
Baltimore-Washington International Airport,Night,14.4
Montrose Regional Airport,Afternoon,14.387358184764992
Greater Rochester International Airport,Afternoon,14.382752293577981
Lehigh Valley International Airport,Morning,14.376636455186304
Gerald R. Ford International Airport,Evening,14.37126185266229
McClellan-Palomar Airport,Morning,14.334519572953736
Billings Logan International Airport,Night,14.317972350230415
Lafayette Regional Airport,Morning,14.311407543698252
Huntsville International Airport,Afternoon,14.308383233532934
Del Norte County Airport (Jack McNamara Field),Morning,14.305882352941177
Rochester International Airport,Morning,14.305246422893482
Tallahassee International Airport,Afternoon,14.295608108108109
Yeager Airport,Evening,14.278260869565218
Columbia Metropolitan Airport,Morning,14.273039005572224
Boise Airport (Boise Air Terminal),Morning,14.271202064896755
Cherry Capital Airport,Afternoon,14.26885536823425
Phoenix Sky Harbor International Airport,Evening,14.267447649729096
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Morning,14.267243786651774
Central Nebraska Regional Airport,Morning,14.263345195729537
Portland International Jetport,Night,14.261658031088082
Meadows Field,Afternoon,14.255421686746988
Kansas City International Airport,Night,14.254468485418627
La Crosse Regional Airport,Afternoon,14.244444444444444
Muskegon County Airport,Afternoon,14.238372093023257
Norfolk International Airport,Evening,14.232604373757455
Fort Wayne International Airport,Afternoon,14.224780701754385
Cleveland Hopkins International Airport,Night,14.213973799126638
Bradley International Airport,Morning,14.1962574167047
Gulfport-Biloxi International Airport,Night,14.192307692307692
Dane County Regional Airport,Morning,14.191456668715427
Indianapolis International Airport,Night,14.185696361355081
Gerald R. Ford International Airport,Night,14.175519630484988
Reno/Tahoe International Airport,Evening,14.168774319066149
Northwest Arkansas Regional Airport,Afternoon,14.163520266518601
Yuma International Airport,Evening,14.162055335968379
Fresno Yosemite International Airport,Afternoon,14.160064025610245
Santa Barbara Municipal Airport (Santa Barbara Airport),Afternoon,14.14937106918239
James M. Cox Dayton International Airport,Night,14.145985401459853
